Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
192677,2014-08-16,33.0,76.0,1,2,Old Trafford (Manchester),Manchester United,Swansea,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/76.png
192678,2014-08-16,46.0,45.0,2,2,"King Power Stadium (Leicester, Leicestershire)",Leicester,Everton,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/45.png
192679,2014-08-16,72.0,64.0,0,1,Loftus Road Stadium (London),QPR,Hull City,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/64.png
192680,2014-08-16,75.0,66.0,0,1,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",Stoke City,Aston Villa,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/66.png
192681,2014-08-16,60.0,74.0,2,2,The Hawthorns (West Bromwich),West Brom,Sunderland,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/746.png
192682,2014-08-16,48.0,47.0,0,1,Boleyn Ground (London),West Ham,Tottenham,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/47.png
192683,2014-08-16,42.0,52.0,2,1,Emirates Stadium (London),Arsenal,Crystal Palace,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/52.png
192684,2014-08-17,40.0,41.0,2,1,Anfield (Liverpool),Liverpool,Southampton,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/41.png
192685,2014-08-17,34.0,50.0,0,2,St. James' Park (Newcastle-upon-Tyne),Newcastle,Manchester City,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/50.png
192686,2014-08-18,44.0,49.0,1,3,Turf Moor (Burnley),Burnley,Chelsea,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/49.png
192687,2014-08-23,66.0,34.0,0,0,Villa Park (Birmingham),Aston Villa,Newcastle,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/34.png
192688,2014-08-23,49.0,46.0,2,0,Stamford Bridge (London),Chelsea,Leicester,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/46.png
192689,2014-08-23,52.0,48.0,1,3,Selhurst Park (London),Crystal Palace,West Ham,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/48.png
192690,2014-08-23,41.0,60.0,0,0,"St. Mary's Stadium (Southampton, Hampshire)",Southampton,West Brom,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/60.png
192691,2014-08-23,76.0,44.0,1,0,Liberty Stadium (Swansea),Swansea,Burnley,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/44.png
192692,2014-08-23,45.0,42.0,2,2,Goodison Park (Liverpool),Everton,Arsenal,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/42.png
