Team,OVA
Chelsea,83
Manchester United,83
Liverpool,81
Arsenal,80
Tottenham Hotspur,78
Newcastle United,77
Blackburn Rovers,76
Everton,76
West Ham United,76
Portsmouth,76
Aston Villa,75
Bolton Wanderers,75
Manchester City,75
Middlesbrough,75
Reading,74
Fulham,74
Birmingham City,72
Wigan Athletic,72
Sunderland,71
West Bromwich Albion,70
Charlton Athletic,69
Derby County,69
Sheffield United,68
Watford,68
Wolverhampton Wanderers,67
Cardiff City,67
Norwich City,66
Crystal Palace,66
Coventry City,66
Southampton,66
Leicester City,66
Burnley,65
Preston North End,65
Stoke City,65
Ipswich Town,65
Sheffield Wednesday,64
Hull City,64
Barnsley,63
Bristol City,62
Plymouth Argyle,62
Colchester United,62
Queens Park Rangers,61
Blackpool,60
Scunthorpe United,60
