Team,OVA
Chelsea,84
Arsenal,82
Manchester United,82
Liverpool,81
Newcastle United,79
Tottenham Hotspur,79
Blackburn Rovers,77
Everton,77
Manchester City,77
Bolton Wanderers,76
Middlesbrough,76
West Ham United,76
Aston Villa,75
Charlton Athletic,75
Fulham,75
Portsmouth,75
Wigan Athletic,74
Birmingham City,73
Sheffield United,72
West Bromwich Albion,72
Reading,71
Sunderland,70
Leeds United,69
Southampton,69
Watford,68
Crystal Palace,68
Norwich City,67
Coventry City,67
Preston North End,67
Wolverhampton Wanderers,67
Leicester City,66
Cardiff City,66
Derby County,65
Ipswich Town,65
Luton Town,65
Stoke City,64
Burnley,63
Sheffield Wednesday,63
Plymouth Argyle,63
Hull City,63
Queens Park Rangers,62
Barnsley,61
Southend United,61
Colchester United,60
