Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
09/08/2019,Liverpool,Norwich,4,1,H,85,74,11
10/08/2019,West Ham,Man City,0,5,A,78,85,-7
10/08/2019,Bournemouth,Sheffield United,1,1,D,76,75,1
10/08/2019,Burnley,Southampton,3,0,H,76,76,0
10/08/2019,Crystal Palace,Everton,0,0,D,77,78,-1
10/08/2019,Watford,Brighton,0,3,A,77,76,1
10/08/2019,Tottenham,Aston Villa,3,1,H,82,76,6
11/08/2019,Leicester,Wolves,0,0,D,79,78,1
11/08/2019,Newcastle,Arsenal,0,1,A,77,80,-3
11/08/2019,Man United,Chelsea,4,0,H,81,81,0
17/08/2019,Arsenal,Burnley,2,1,H,80,76,4
17/08/2019,Aston Villa,Bournemouth,1,2,A,76,76,0
17/08/2019,Brighton,West Ham,1,1,D,76,78,-2
17/08/2019,Everton,Watford,1,0,H,78,77,1
17/08/2019,Norwich,Newcastle,3,1,H,74,77,-3
17/08/2019,Southampton,Liverpool,1,2,A,76,85,-9
17/08/2019,Man City,Tottenham,2,2,D,85,82,3
18/08/2019,Sheffield United,Crystal Palace,1,0,H,75,77,-2
18/08/2019,Chelsea,Leicester,1,1,D,81,79,2
19/08/2019,Wolves,Man United,1,1,D,78,81,-3
23/08/2019,Aston Villa,Everton,2,0,H,76,78,-2
24/08/2019,Norwich,Chelsea,2,3,A,74,81,-7
24/08/2019,Brighton,Southampton,0,2,A,76,76,0
24/08/2019,Man United,Crystal Palace,1,2,A,81,77,4
24/08/2019,Sheffield United,Leicester,1,2,A,75,79,-4
24/08/2019,Watford,West Ham,1,3,A,77,78,-1
24/08/2019,Liverpool,Arsenal,3,1,H,85,80,5
25/08/2019,Bournemouth,Man City,1,3,A,76,85,-9
25/08/2019,Tottenham,Newcastle,0,1,A,82,77,5
25/08/2019,Wolves,Burnley,1,1,D,78,76,2
31/08/2019,Southampton,Man United,1,1,D,76,81,-5
31/08/2019,Chelsea,Sheffield United,2,2,D,81,75,6
31/08/2019,Crystal Palace,Aston Villa,1,0,H,77,76,1
31/08/2019,Leicester,Bournemouth,3,1,H,79,76,3
31/08/2019,Man City,Brighton,4,0,H,85,76,9
31/08/2019,Newcastle,Watford,1,1,D,77,77,0
31/08/2019,West Ham,Norwich,2,0,H,78,74,4
31/08/2019,Burnley,Liverpool,0,3,A,76,85,-9
01/09/2019,Everton,Wolves,3,2,H,78,78,0
01/09/2019,Arsenal,Tottenham,2,2,D,80,82,-2
14/09/2019,Liverpool,Newcastle,3,1,H,85,77,8
14/09/2019,Brighton,Burnley,1,1,D,76,76,0
14/09/2019,Man United,Leicester,1,0,H,81,79,2
14/09/2019,Sheffield United,Southampton,0,1,A,75,76,-1
14/09/2019,Tottenham,Crystal Palace,4,0,H,82,77,5
14/09/2019,Wolves,Chelsea,2,5,A,78,81,-3
14/09/2019,Norwich,Man City,3,2,H,74,85,-11
15/09/2019,Bournemouth,Everton,3,1,H,76,78,-2
15/09/2019,Watford,Arsenal,2,2,D,77,80,-3
16/09/2019,Aston Villa,West Ham,0,0,D,76,78,-2
20/09/2019,Southampton,Bournemouth,1,3,A,76,76,0
21/09/2019,Leicester,Tottenham,2,1,H,79,82,-3
21/09/2019,Burnley,Norwich,2,0,H,76,74,2
21/09/2019,Everton,Sheffield United,0,2,A,78,75,3
21/09/2019,Man City,Watford,8,0,H,85,77,8
21/09/2019,Newcastle,Brighton,0,0,D,77,76,1
22/09/2019,Crystal Palace,Wolves,1,1,D,77,78,-1
22/09/2019,West Ham,Man United,2,0,H,78,81,-3
22/09/2019,Arsenal,Aston Villa,3,2,H,80,76,4
22/09/2019,Chelsea,Liverpool,1,2,A,81,85,-4
28/09/2019,Sheffield United,Liverpool,0,1,A,75,85,-10
28/09/2019,Aston Villa,Burnley,2,2,D,76,76,0
28/09/2019,Bournemouth,West Ham,2,2,D,76,78,-2
28/09/2019,Chelsea,Brighton,2,0,H,81,76,5
28/09/2019,Crystal Palace,Norwich,2,0,H,77,74,3
28/09/2019,Tottenham,Southampton,2,1,H,82,76,6
28/09/2019,Wolves,Watford,2,0,H,78,77,1
28/09/2019,Everton,Man City,1,3,A,78,85,-7
29/09/2019,Leicester,Newcastle,5,0,H,79,77,2
30/09/2019,Man United,Arsenal,1,1,D,81,80,1
05/10/2019,Brighton,Tottenham,3,0,H,76,82,-6
05/10/2019,Burnley,Everton,1,0,H,76,78,-2
05/10/2019,Liverpool,Leicester,2,1,H,85,79,6
05/10/2019,Norwich,Aston Villa,1,5,A,74,76,-2
05/10/2019,Watford,Sheffield United,0,0,D,77,75,2
05/10/2019,West Ham,Crystal Palace,1,2,A,78,77,1
06/10/2019,Arsenal,Bournemouth,1,0,H,80,76,4
06/10/2019,Man City,Wolves,0,2,A,85,78,7
06/10/2019,Southampton,Chelsea,1,4,A,76,81,-5
06/10/2019,Newcastle,Man United,1,0,H,77,81,-4
19/10/2019,Everton,West Ham,2,0,H,78,78,0
19/10/2019,Aston Villa,Brighton,2,1,H,76,76,0
19/10/2019,Bournemouth,Norwich,0,0,D,76,74,2
19/10/2019,Chelsea,Newcastle,1,0,H,81,77,4
19/10/2019,Leicester,Burnley,2,1,H,79,76,3
19/10/2019,Tottenham,Watford,1,1,D,82,77,5
19/10/2019,Wolves,Southampton,1,1,D,78,76,2
19/10/2019,Crystal Palace,Man City,0,2,A,77,85,-8
20/10/2019,Man United,Liverpool,1,1,D,81,85,-4
21/10/2019,Sheffield United,Arsenal,1,0,H,75,80,-5
