Team,Points,Goal_Diff,Win_Rate
Man City,93,73,0.7631578947368421
Liverpool,92,68,0.7368421052631579
Chelsea,74,43,0.5526315789473685
Tottenham,71,29,0.5789473684210527
Arsenal,69,13,0.5789473684210527
Man United,58,0,0.42105263157894735
West Ham,56,9,0.42105263157894735
Leicester,52,3,0.3684210526315789
Brighton,51,-2,0.3157894736842105
Wolves,51,-5,0.39473684210526316
Newcastle,49,-18,0.34210526315789475
Crystal Palace,48,4,0.2894736842105263
Brentford,46,-8,0.34210526315789475
Aston Villa,45,-2,0.34210526315789475
Southampton,40,-24,0.23684210526315788
Everton,39,-23,0.2894736842105263
Leeds,38,-37,0.23684210526315788
Burnley,35,-19,0.18421052631578946
Watford,23,-43,0.15789473684210525
Norwich,22,-61,0.13157894736842105
